Client_Name,Industry,Country,Service_Used,Project_Duration_Days,Project_Cost_INR,Revenue_Generated_INR,Is_Renewed,Team_Size,Feedback_Score,Project_Month,Profit_INR,ROI,Project_Size,Feedback_Level,Renewed_Flag,Client_Success_Score
Client_164,Retail,USA,API Testing,322,1088625,613320,Yes,5,6,Aug,-475305,-0.4366104030313469,Long-term,Low,1,0.3053558387874612
Client_29,Healthcare,Singapore,Cloud Testing,139,1918864,553728,Yes,5,4,Aug,-1365136,-0.7114292623135355,Mid-term,Low,1,0.13542829507458576
Client_7,Banking,India,Mobile Testing,143,1110131,2344462,No,12,6,Feb,1234331,1.1118786881908531,Mid-term,Low,0,0.6247514752763412
Client_190,Retail,UAE,Mobile Testing,361,457704,2913589,No,6,7,Feb,2455885,5.365662087287854,Long-term,Medium,0,2.3562648349151414
Client_71,Healthcare,Singapore,Performance Testing,145,560039,429675,Yes,13,8,Sep,-130364,-0.23277664591215969,Mid-term,Medium,1,0.4468893416351361
Client_63,Banking,USA,Performance Testing,135,1841398,333615,No,8,7,Nov,-1507783,-0.8188251534975057,Mid-term,Medium,0,-0.11753006139900232
Client_58,Banking,USA,Test Automation,167,961440,694312,No,3,4,Apr,-267128,-0.277841570976868,Mid-term,Low,0,0.008863371609252782
Client_36,Healthcare,India,DevOps QA,363,1360050,899265,Yes,20,7,Dec,-460785,-0.33880004411602516,Long-term,Medium,1,0.3744799823535899
Client_189,Retail,India,Security Testing,239,399289,281171,Yes,13,4,Aug,-118118,-0.2958208215102344,Long-term,Low,1,0.3016716713959062
Client_27,EdTech,UAE,Mobile Testing,292,1766430,997580,No,4,7,Mar,-768850,-0.4352564211432097,Long-term,Medium,0,0.0358974315427161
Client_174,Insurance,Singapore,DevOps QA,40,1321897,599021,Yes,17,9,Aug,-722876,-0.5468474472670715,Short-term,High,1,0.3512610210931714
Client_190,Banking,Australia,Performance Testing,34,1820615,2185790,Yes,16,5,May,365175,0.20057782672338742,Short-term,Low,1,0.530231130689355
Client_140,Healthcare,UK,API Testing,272,1709543,953698,Yes,19,4,Mar,-755845,-0.4421327805150265,Long-term,Low,1,0.24314688779398935
Client_23,EdTech,Singapore,Performance Testing,97,481438,564202,Yes,16,6,Mar,82764,0.1719099863326119,Mid-term,Low,1,0.5487639945330447
Client_152,EdTech,USA,API Testing,361,1406969,283450,Yes,11,8,Jan,-1123519,-0.7985385605510853,Long-term,Medium,1,0.22058457577956586
Client_109,EdTech,Australia,Cloud Testing,118,1483383,2544998,Yes,3,8,Oct,1061615,0.7156715426831776,Mid-term,Medium,1,0.8262686170732711
Client_9,Telecom,USA,Security Testing,337,1171235,2841701,No,18,9,Feb,1670466,1.4262432389742452,Long-term,High,0,0.8404972955896981
Client_8,Retail,Australia,Cloud Testing,34,654740,1779901,Yes,3,4,Mar,1125161,1.7184852002321531,Short-term,Low,1,1.1073940800928612
Client_24,Banking,UAE,Performance Testing,144,451737,2909521,Yes,13,5,May,2457784,5.4407409621084835,Mid-term,Low,1,2.626296384843393
Client_56,Healthcare,UK,Test Automation,159,1618729,2204829,Yes,15,10,Feb,586100,0.36207419524824724,Mid-term,High,1,0.7448296780992989
Client_60,EdTech,Germany,Performance Testing,341,1537788,2355454,Yes,15,8,Sep,817666,0.5317156851269486,Long-term,Medium,1,0.7526862740507794
Client_130,Insurance,UAE,Mobile Testing,186,818633,2767121,Yes,13,9,Dec,1948488,2.380172800265809,Long-term,High,1,1.522069120106324
Client_155,Insurance,USA,Performance Testing,359,1050995,2625901,Yes,6,10,Jul,1574906,1.4984904780707806,Long-term,High,1,1.1993961912283122
Client_7,E-commerce,Australia,Mobile Testing,170,1351021,1223484,No,18,5,Mar,-127537,-0.0944004571357514,Mid-term,Low,0,0.11223981714569943
Client_144,EdTech,USA,Cloud Testing,246,1338569,355880,Yes,6,6,Feb,-982689,-0.7341339893572912,Long-term,Low,1,0.1863464042570835
Client_51,Insurance,Singapore,Test Automation,222,244374,1686600,Yes,9,8,Nov,1442226,5.901716221856662,Long-term,Medium,1,2.9006864887426644
Client_184,Banking,UK,DevOps QA,208,581954,1075778,Yes,13,7,Jan,493824,0.8485619138282408,Long-term,Medium,1,0.8494247655312963
Client_167,Retail,Singapore,Cloud Testing,265,893166,2691553,No,18,7,Nov,1798387,2.0134969311415793,Long-term,Medium,0,1.0153987724566318
Client_180,Retail,Singapore,Cloud Testing,159,908372,447266,Yes,19,4,May,-461106,-0.507618024333643,Mid-term,Low,1,0.21695279026654277
Client_140,Healthcare,UAE,Performance Testing,141,377271,204887,Yes,13,10,Mar,-172384,-0.4569235377222209,Mid-term,High,1,0.41723058491111165
Client_108,Insurance,Singapore,Functional Testing,268,327688,1025511,Yes,8,9,Aug,697823,2.12953480139645,Long-term,High,1,1.42181392055858
Client_57,Automotive,India,API Testing,184,134734,2900412,Yes,12,8,Jun,2765678,20.526949396588833,Long-term,Medium,1,8.750779758635534
Client_115,Insurance,India,Cloud Testing,296,524355,2211104,No,14,5,Mar,1686749,3.2168073156544708,Long-term,Low,0,1.4367229262617882
Client_151,E-commerce,Singapore,API Testing,349,1196205,485363,Yes,16,10,Apr,-710842,-0.5942476414995758,Long-term,High,1,0.36230094340016966
Client_72,Automotive,UK,API Testing,233,1902694,2113182,No,9,5,Dec,210488,0.11062630144416286,Long-term,Low,0,0.19425052057766515
Client_2,E-commerce,Singapore,DevOps QA,329,1157718,2829810,Yes,18,6,Jan,1672092,1.4442999072312948,Long-term,Low,1,1.057719962892518
Client_195,EdTech,USA,DevOps QA,82,1535223,404595,Yes,5,8,Nov,-1130628,-0.7364584819273813,Short-term,Medium,1,0.24541660722904746
Client_41,EdTech,USA,DevOps QA,33,980373,1663833,No,20,5,Sep,683460,0.6971428221707452,Short-term,Low,0,0.4288571288682981
Client_179,Healthcare,UK,Security Testing,291,1833325,2490505,No,9,10,Apr,657180,0.3584634475611253,Long-term,High,0,0.4433853790244501
Client_109,E-commerce,UAE,API Testing,221,413652,1894634,No,12,5,Aug,1480982,3.5802607022327946,Long-term,Low,0,1.5821042808931178
Client_88,Healthcare,India,Performance Testing,317,1369848,1697986,Yes,11,8,Dec,328138,0.23954336539528473,Long-term,Medium,1,0.6358173461581138
Client_72,Banking,India,API Testing,361,301952,394528,No,4,7,Jan,92576,0.3065917761763459,Long-term,Medium,0,0.33263671047053833
Client_40,Insurance,UAE,Cloud Testing,334,472081,2737605,Yes,12,8,Nov,2265524,4.79901542320068,Long-term,Medium,1,2.4596061692802715
Client_56,Automotive,Singapore,DevOps QA,341,1097970,1264911,Yes,15,7,Sep,166941,0.15204513784529633,Long-term,Medium,1,0.5708180551381186
